player_id,goals,goal_assist,appearances,mins_played,yellow_card,red_card,total_sub_on,total_sub_off
91606.0,3.0,3.0,14.0,659.0,1.0,0.0,6.0,6.0
159627.0,3.0,6.0,30.0,2258.0,4.0,0.0,4.0,11.0
30960.0,3.0,0.0,20.0,1565.0,4.0,0.0,2.0,2.0
160895.0,3.0,2.0,24.0,787.0,2.0,0.0,17.0,6.0
166789.0,3.0,0.0,14.0,655.0,1.0,0.0,8.0,1.0
135200.0,3.0,2.0,22.0,1808.0,2.0,0.0,1.0,4.0
7748.0,3.0,1.0,26.0,2165.0,9.0,0.0,2.0,2.0
17894.0,3.0,1.0,23.0,543.0,1.0,0.0,18.0,5.0
157053.0,3.0,0.0,23.0,1180.0,1.0,0.0,10.0,13.0
32103.0,3.0,0.0,25.0,1471.0,3.0,0.0,10.0,10.0
160846.0,3.0,1.0,20.0,1440.0,0.0,0.0,3.0,10.0
20023.0,3.0,0.0,20.0,809.0,1.0,1.0,12.0,8.0
160683.0,3.0,2.0,30.0,2074.0,6.0,0.0,8.0,3.0
160314.0,3.0,5.0,30.0,2251.0,2.0,0.0,5.0,7.0
159713.0,3.0,3.0,26.0,1608.0,0.0,0.0,9.0,9.0
23462.0,3.0,1.0,25.0,2164.0,0.0,0.0,0.0,2.0
160892.0,3.0,1.0,25.0,2130.0,3.0,0.0,0.0,2.0
31015.0,3.0,0.0,30.0,2447.0,0.0,0.0,1.0,11.0
131781.0,3.0,1.0,16.0,837.0,2.0,0.0,7.0,7.0
13935.0,3.0,3.0,32.0,2740.0,4.0,0.0,1.0,1.0
47172.0,2.0,1.0,25.0,2195.0,1.0,0.0,0.0,1.0
154335.0,2.0,2.0,30.0,2550.0,5.0,0.0,0.0,12.0
91050.0,2.0,2.0,17.0,1210.0,2.0,0.0,5.0,3.0
160671.0,2.0,2.0,31.0,2380.0,7.0,0.0,2.0,18.0
6280.0,2.0,5.0,29.0,2600.0,0.0,0.0,0.0,1.0
53174.0,2.0,3.0,31.0,2790.0,6.0,0.0,0.0,0.0
31074.0,2.0,0.0,14.0,1188.0,3.0,0.0,0.0,3.0
154766.0,2.0,1.0,20.0,1022.0,0.0,0.0,9.0,11.0
175596.0,2.0,0.0,12.0,295.0,0.0,0.0,9.0,3.0
49704.0,2.0,1.0,32.0,2550.0,9.0,0.0,3.0,7.0
159638.0,2.0,2.0,18.0,926.0,4.0,1.0,8.0,5.0
180025.0,2.0,2.0,20.0,1090.0,5.0,0.0,10.0,4.0
135251.0,2.0,1.0,25.0,1988.0,5.0,0.0,3.0,1.0
159637.0,2.0,5.0,29.0,1615.0,3.0,0.0,12.0,11.0
14287.0,2.0,1.0,17.0,923.0,1.0,0.0,7.0,5.0
51790.0,2.0,0.0,21.0,722.0,1.0,0.0,14.0,5.0
48182.0,2.0,4.0,24.0,1563.0,2.0,0.0,5.0,11.0
7018.0,2.0,1.0,27.0,1769.0,7.0,0.0,8.0,4.0
35017.0,2.0,2.0,24.0,1934.0,8.0,0.0,2.0,6.0
